商品ID,日付,販売個数
3,2012-12,2148
3,2013-01,1414
3,2013-02,1310
3,2013-03,1450
3,2013-04,1290
3,2013-05,1400
3,2013-06,1150
3,2013-07,980
3,2013-08,1539
3,2013-09,1110
3,2013-10,2613
3,2013-11,1220
3,2013-12,2542
3,2014-01,770
3,2014-02,1320
3,2014-03,1290
3,2014-04,1270
3,2014-05,1160
3,2014-06,1230
3,2014-07,1030
3,2014-08,1521
3,2014-09,950
3,2014-10,1400
3,2014-11,1050
3,2014-12,3508
3,2015-01,1100
3,2015-02,1360
3,2015-03,1190
3,2015-04,1521
3,2015-05,830
3,2015-06,870
3,2015-07,780
3,2015-08,1075
3,2015-09,1418
3,2015-10,1020
3,2015-11,840
3,2015-12,2255
3,2016-01,1199
3,2016-02,830
3,2016-03,1170
3,2016-04,1080
3,2016-05,800
3,2016-06,2094
3,2016-07,1100
3,2016-08,660
3,2016-09,1253
3,2016-10,890
3,2016-11,1777
3,2016-12,1826
3,2017-01,630
3,2017-02,1185
3,2017-03,910
3,2017-04,860
3,2017-05,1271
3,2017-06,680
3,2017-07,1169
3,2017-08,600
3,2017-09,840
3,2017-10,770
3,2017-11,630
3,2017-12,670
3,2018-01,530
3,2018-02,1038
3,2018-03,810
3,2018-04,720
3,2018-05,560
3,2018-06,1200
3,2018-07,650
3,2018-08,600
3,2018-09,660
3,2018-10,820
3,2018-11,935
3,2018-12,1338
3,2019-01,530
3,2019-02,640
3,2019-03,830
3,2019-04,720
3,2019-05,700
3,2019-06,670
3,2019-07,670
3,2019-08,580
3,2019-09,620
3,2019-10,750
4,2010-01,10469
4,2010-02,8511
4,2010-03,9467
4,2010-04,11970
4,2010-05,9819
4,2010-06,7623
4,2010-07,7531
4,2010-08,16398
4,2010-09,11913
4,2010-10,7552
4,2010-11,16859
4,2010-12,32643
4,2011-01,6857
4,2011-02,7332
4,2011-03,12315
4,2011-04,9421
4,2011-05,9044
4,2011-06,11793
4,2011-07,11943
4,2011-08,10036
4,2011-09,11805
4,2011-10,12938
4,2011-11,32753
4,2011-12,39959
4,2012-01,15729
4,2012-02,18491
4,2012-03,8878
4,2012-04,14686
4,2012-05,13596
4,2012-06,13845
4,2012-07,12662
4,2012-08,26934
4,2012-09,6116
4,2012-10,17218
4,2012-11,9511
4,2012-12,20707
4,2013-01,8925
4,2013-02,17155
4,2013-03,9227
4,2013-04,19387
4,2013-05,11206
4,2013-06,11055
4,2013-07,22645
4,2013-08,13375
4,2013-09,9249
4,2013-10,9916
4,2013-11,18594
4,2013-12,25463
4,2014-01,10421
4,2014-02,13042
4,2014-03,9993
4,2014-04,14163
4,2014-05,11215
4,2014-06,19268
4,2014-07,16637
4,2014-08,1450
4,2014-09,1605
4,2014-10,1559
4,2014-11,1545
4,2014-12,1230
4,2015-01,738
4,2015-02,1250
4,2015-03,865
4,2015-04,861
4,2015-05,564
4,2015-06,633
4,2015-07,559
4,2015-08,1125
4,2015-09,684
4,2015-10,720
4,2015-11,564
4,2015-12,1304
4,2016-01,674
4,2016-02,778
4,2016-03,1484
4,2016-04,1016
4,2016-05,1240
4,2016-06,494
4,2016-07,443
4,2016-08,351
4,2016-09,513
4,2016-10,543
4,2016-11,477
4,2016-12,1268
4,2017-01,513
4,2017-02,493
4,2017-03,912
4,2017-04,420
4,2017-05,442
4,2017-06,472
4,2017-07,452
4,2017-08,423
4,2017-09,511
4,2017-10,487
4,2017-11,486
4,2017-12,1125
4,2018-01,356
4,2018-02,582
4,2018-03,966
4,2018-04,412
4,2018-05,436
4,2018-06,429
4,2018-07,409
4,2018-08,432
4,2018-09,481
4,2018-10,499
4,2018-11,421
4,2018-12,681
4,2019-01,359
4,2019-02,1000
4,2019-03,482
4,2019-04,426
4,2019-05,357
4,2019-06,848
4,2019-07,330
4,2019-08,440
4,2019-09,768
4,2019-10,408
5,2010-01,938
5,2010-02,1773
5,2010-03,1074
5,2010-04,2216
5,2010-05,1457
5,2010-06,1555
5,2010-07,3434
5,2010-08,1629
5,2010-09,3158
5,2010-10,2822
5,2010-11,1459
5,2010-12,3460
5,2011-01,1550
5,2011-02,1278
5,2011-03,1506
5,2011-04,1448
5,2011-05,1472
5,2011-06,1488
5,2011-07,1472
5,2011-08,1136
5,2011-09,935
5,2011-10,912
5,2011-11,1040
5,2011-12,2174
5,2012-01,1172
5,2012-02,803
5,2012-03,828
5,2012-04,725
5,2012-05,733
5,2012-06,665
5,2012-07,624
5,2012-08,714
5,2012-09,490
5,2012-10,403
5,2012-11,373
5,2012-12,1059
5,2013-01,464
5,2013-02,220
5,2013-03,279
5,2013-04,182
5,2013-05,197
5,2013-06,216
5,2013-07,209
5,2013-08,399
5,2013-09,184
5,2013-10,204
5,2013-11,234
5,2013-12,262
5,2014-01,189
5,2014-02,141
5,2014-03,164
5,2014-04,126
5,2014-05,104
5,2014-06,115
5,2014-07,130
5,2014-08,115
5,2014-09,133
5,2014-10,123
5,2014-11,96
5,2014-12,287
5,2015-01,92
5,2015-02,109
5,2015-03,161
5,2015-04,78
5,2015-05,69
5,2015-06,149
5,2015-07,159
5,2015-08,124
5,2015-09,107
5,2015-10,120
5,2015-11,120
5,2015-12,201
5,2016-01,143
5,2016-02,161
5,2016-03,395
5,2016-04,185
5,2016-05,321
5,2016-06,324
5,2016-07,181
5,2016-08,138
5,2016-09,167
5,2016-10,294
5,2016-11,134
5,2016-12,254
5,2017-01,122
5,2017-02,133
5,2017-03,128
5,2017-04,302
5,2017-05,183
5,2017-06,183
5,2017-07,151
5,2017-08,217
5,2017-09,242
5,2017-10,226
5,2017-11,220
5,2017-12,395
5,2018-01,370
5,2018-02,197
5,2018-03,225
5,2018-04,232
5,2018-05,312
5,2018-06,714
5,2018-07,341
5,2018-08,344
5,2018-09,367
5,2018-10,360
5,2018-11,283
5,2018-12,427
5,2019-01,226
5,2019-02,236
5,2019-03,618
5,2019-04,582
5,2019-05,277
5,2019-06,342
5,2019-07,353
5,2019-08,363
5,2019-09,354
5,2019-10,384
6,2010-01,610
6,2010-02,243
6,2010-03,596
6,2010-04,373
6,2010-05,426
6,2010-06,1208
6,2010-07,1382
6,2010-08,766
6,2010-09,1553
6,2010-10,749
6,2010-11,739
6,2010-12,2082
6,2011-01,712
6,2011-02,716
6,2011-03,711
6,2011-04,673
6,2011-05,1514
6,2011-06,715
6,2011-07,734
6,2011-08,708
6,2011-09,1353
6,2011-10,681
6,2011-11,680
6,2011-12,1845
6,2012-01,967
6,2012-02,575
6,2012-03,658
6,2012-04,978
6,2012-05,580
6,2012-06,678
6,2012-07,681
6,2012-08,667
6,2012-09,695
6,2012-10,513
6,2012-11,486
6,2012-12,482
6,2013-01,491
6,2013-02,588
6,2013-03,554
6,2013-04,494
6,2013-05,627
6,2013-06,378
6,2013-07,368
6,2013-08,331
6,2013-09,348
6,2013-10,655
6,2013-11,295
6,2013-12,518
6,2014-01,518
6,2014-02,607
6,2014-03,307
6,2014-04,588
6,2014-05,271
6,2014-06,699
6,2014-07,359
6,2014-08,286
6,2014-09,290
6,2014-10,302
6,2014-11,537
6,2014-12,634
6,2015-01,343
6,2015-02,291
6,2015-03,433
6,2015-04,283
6,2015-05,612
6,2015-06,307
6,2015-07,338
6,2015-08,320
6,2015-09,329
6,2015-10,297
6,2015-11,298
6,2015-12,636
6,2016-01,272
6,2016-02,275
6,2016-03,306
6,2016-04,330
6,2016-05,270
6,2016-06,316
6,2016-07,301
6,2016-08,261
6,2016-09,669
6,2016-10,362
6,2016-11,333
6,2016-12,706
6,2017-01,327
6,2017-02,537
6,2017-03,320
6,2017-04,322
6,2017-05,274
6,2017-06,356
6,2017-07,304
6,2017-08,649
6,2017-09,349
6,2017-10,326
6,2017-11,316
6,2017-12,636
6,2018-01,241
6,2018-02,489
6,2018-03,515
6,2018-04,268
6,2018-05,277
6,2018-06,608
6,2018-07,356
6,2018-08,350
6,2018-09,782
6,2018-10,290
6,2018-11,292
6,2018-12,723
6,2019-01,529
6,2019-02,285
6,2019-03,326
6,2019-04,318
6,2019-05,292
6,2019-06,331
6,2019-07,343
6,2019-08,283
6,2019-09,293
6,2019-10,544
7,2010-01,84
7,2010-02,62
7,2010-03,48
7,2010-04,75
7,2010-05,71
7,2010-06,126
7,2010-07,101
7,2010-08,84
7,2010-09,186
7,2010-10,210
7,2010-11,132
7,2010-12,279
7,2011-01,118
7,2011-02,134
7,2011-03,147
7,2011-04,165
7,2011-05,151
7,2011-06,168
7,2011-07,308
7,2011-08,145
7,2011-09,159
7,2011-10,164
7,2011-11,283
7,2011-12,287
7,2012-01,137
7,2012-02,139
7,2012-03,129
7,2012-04,134
7,2012-05,124
7,2012-06,143
7,2012-07,154
7,2012-08,128
7,2012-09,136
7,2012-10,143
7,2012-11,146
7,2012-12,276
7,2013-01,171
7,2013-02,170
7,2013-03,173
7,2013-04,178
7,2013-05,175
7,2013-06,182
7,2013-07,186
7,2013-08,277
7,2013-09,145
7,2013-10,161
7,2013-11,136
7,2013-12,120
7,2014-01,232
7,2014-02,113
7,2014-03,128
7,2014-04,134
7,2014-05,137
7,2014-06,143
7,2014-07,159
7,2014-08,137
7,2014-09,143
7,2014-10,160
7,2014-11,265
7,2014-12,258
7,2015-01,142
7,2015-02,142
7,2015-03,127
7,2015-04,150
7,2015-05,143
7,2015-06,226
7,2015-07,164
7,2015-08,240
7,2015-09,254
7,2015-10,167
7,2015-11,137
7,2015-12,234
7,2016-01,138
7,2016-02,141
7,2016-03,153
7,2016-04,164
7,2016-05,260
7,2016-06,302
7,2016-07,165
7,2016-08,252
7,2016-09,139
7,2016-10,267
7,2016-11,138
7,2016-12,261
7,2017-01,147
7,2017-02,145
7,2017-03,150
7,2017-04,153
7,2017-05,128
7,2017-06,238
7,2017-07,263
7,2017-08,267
7,2017-09,162
7,2017-10,165
7,2017-11,156
7,2017-12,248
7,2018-01,150
7,2018-02,162
7,2018-03,171
7,2018-04,263
7,2018-05,163
7,2018-06,191
7,2018-07,199
7,2018-08,161
7,2018-09,195
7,2018-10,207
7,2018-11,200
7,2018-12,405
7,2019-01,189
7,2019-02,197
7,2019-03,367
7,2019-04,327
7,2019-05,186
7,2019-06,334
7,2019-07,225
7,2019-08,191
7,2019-09,213
7,2019-10,233
8,2010-01,346
8,2010-02,348
8,2010-03,329
8,2010-04,662
8,2010-05,380
8,2010-06,940
8,2010-07,267
8,2010-08,537
8,2010-09,581
8,2010-10,339
8,2010-11,387
8,2010-12,772
8,2011-01,339
8,2011-02,406
8,2011-03,493
8,2011-04,432
8,2011-05,808
8,2011-06,445
8,2011-07,405
8,2011-08,348
8,2011-09,900
8,2011-10,440
8,2011-11,420
8,2011-12,1143
8,2012-01,636
8,2012-02,673
8,2012-03,467
8,2012-04,390
8,2012-05,436
8,2012-06,474
8,2012-07,763
8,2012-08,404
8,2012-09,409
8,2012-10,487
8,2012-11,509
8,2012-12,823
8,2013-01,460
8,2013-02,442
8,2013-03,466
8,2013-04,455
8,2013-05,1049
8,2013-06,492
8,2013-07,814
8,2013-08,351
8,2013-09,376
8,2013-10,451
8,2013-11,437
8,2013-12,351
8,2014-01,400
8,2014-02,404
8,2014-03,424
8,2014-04,827
8,2014-05,486
8,2014-06,414
8,2014-07,390
8,2014-08,826
8,2014-09,416
8,2014-10,387
8,2014-11,407
8,2014-12,900
8,2015-01,371
8,2015-02,817
8,2015-03,416
8,2015-04,432
8,2015-05,446
8,2015-06,754
8,2015-07,380
8,2015-08,348
8,2015-09,891
8,2015-10,870
8,2015-11,361
8,2015-12,789
8,2016-01,395
8,2016-02,409
8,2016-03,801
8,2016-04,413
8,2016-05,388
8,2016-06,458
8,2016-07,402
8,2016-08,360
8,2016-09,377
8,2016-10,406
8,2016-11,392
8,2016-12,843
8,2017-01,752
8,2017-02,419
8,2017-03,833
8,2017-04,415
8,2017-05,351
8,2017-06,660
8,2017-07,312
8,2017-08,287
8,2017-09,686
8,2017-10,352
8,2017-11,428
8,2017-12,858
8,2018-01,701
8,2018-02,391
8,2018-03,1060
8,2018-04,455
8,2018-05,401
8,2018-06,472
8,2018-07,812
8,2018-08,946
8,2018-09,1001
8,2018-10,864
8,2018-11,502
8,2018-12,1018
8,2019-01,418
8,2019-02,844
8,2019-03,490
8,2019-04,443
8,2019-05,492
8,2019-06,454
8,2019-07,826
8,2019-08,323
8,2019-09,317
8,2019-10,370
9,2010-01,697
9,2010-02,640
9,2010-03,1045
9,2010-04,663
9,2010-05,625
9,2010-06,1031
9,2010-07,986
9,2010-08,927
9,2010-09,1722
9,2010-10,1131
9,2010-11,1256
9,2010-12,1820
9,2011-01,679
9,2011-02,784
9,2011-03,434
9,2011-04,505
9,2011-05,1647
9,2011-06,1020
9,2011-07,952
9,2011-08,1328
9,2011-09,1026
9,2011-10,995
9,2011-11,2259
9,2011-12,1810
9,2012-01,620
9,2012-02,638
9,2012-03,603
9,2012-04,954
9,2012-05,1242
9,2012-06,1129
9,2012-07,1133
9,2012-08,1075
9,2012-09,1032
9,2012-10,1038
9,2012-11,2137
9,2012-12,2105
9,2013-01,1094
9,2013-02,858
9,2013-03,929
9,2013-04,2101
9,2013-05,1883
9,2013-06,1422
9,2013-07,1197
9,2013-08,981
9,2013-09,1011
9,2013-10,1281
9,2013-11,1899
9,2013-12,2134
9,2014-01,1119
9,2014-02,1309
9,2014-03,539
9,2014-04,1518
9,2014-05,1117
9,2014-06,1797
9,2014-07,1066
9,2014-08,1278
9,2014-09,849
9,2014-10,1355
9,2014-11,1243
9,2014-12,1922
9,2015-01,1108
9,2015-02,762
9,2015-03,1045
9,2015-04,2558
9,2015-05,1254
9,2015-06,1292
9,2015-07,1000
9,2015-08,974
9,2015-09,2751
9,2015-10,1322
9,2015-11,1094
9,2015-12,1819
9,2016-01,1238
9,2016-02,1597
9,2016-03,620
9,2016-04,1391
9,2016-05,1380
9,2016-06,2976
9,2016-07,1828
9,2016-08,1953
9,2016-09,682
9,2016-10,1454
9,2016-11,1380
9,2016-12,2488
9,2017-01,756
9,2017-02,1276
9,2017-03,565
9,2017-04,808
9,2017-05,1529
9,2017-06,1372
9,2017-07,2467
9,2017-08,467
9,2017-09,1533
9,2017-10,1088
9,2017-11,1348
9,2017-12,1624
9,2018-01,732
9,2018-02,1340
9,2018-03,717
9,2018-04,1180
9,2018-05,1953
9,2018-06,1830
9,2018-07,1446
9,2018-08,1138
9,2018-09,933
9,2018-10,1244
9,2018-11,1058
9,2018-12,1491
9,2019-01,1366
9,2019-02,773
9,2019-03,1119
9,2019-04,1594
9,2019-05,2154
9,2019-06,1638
9,2019-07,2300
9,2019-08,1875
9,2019-09,1824
9,2019-10,1229
10,2010-01,823
10,2010-02,633
10,2010-03,1129
10,2010-04,875
10,2010-05,441
10,2010-06,345
10,2010-07,407
10,2010-08,227
10,2010-09,230
10,2010-10,200
10,2010-11,164
10,2010-12,421
10,2011-01,296
10,2011-02,481
10,2011-03,582
10,2011-04,379
10,2011-05,353
10,2011-06,865
10,2011-07,1165
10,2011-08,584
10,2011-09,741
10,2011-10,723
10,2011-11,1202
10,2011-12,1418
10,2012-01,745
10,2012-02,631
10,2012-03,532
10,2012-04,822
10,2012-05,348
10,2012-06,895
10,2012-07,420
10,2012-08,388
10,2012-09,294
10,2012-10,433
10,2012-11,350
10,2012-12,474
10,2013-01,270
10,2013-02,283
10,2013-03,449
10,2013-04,205
10,2013-05,237
10,2013-06,505
10,2013-07,242
10,2013-08,268
10,2013-09,564
10,2013-10,374
10,2013-11,881
10,2013-12,899
10,2014-01,305
10,2014-02,422
10,2014-03,590
10,2014-04,558
10,2014-05,238
10,2014-06,578
10,2014-07,589
10,2014-08,388
10,2014-09,451
10,2014-10,599
10,2014-11,971
10,2014-12,1450
10,2015-01,1649
10,2015-02,1056
10,2015-03,1484
10,2015-04,1869
10,2015-05,2169
10,2015-06,1542
10,2015-07,2064
10,2015-08,756
10,2015-09,561
10,2015-10,614
10,2015-11,486
10,2015-12,1697
10,2016-01,1428
10,2016-02,1226
10,2016-03,2089
10,2016-04,1736
10,2016-05,1493
10,2016-06,1830
10,2016-07,910
10,2016-08,516
10,2016-09,968
10,2016-10,1446
10,2016-11,609
10,2016-12,1072
10,2017-01,810
10,2017-02,1559
10,2017-03,1022
10,2017-04,644
10,2017-05,513
10,2017-06,765
10,2017-07,761
10,2017-08,747
10,2017-09,830
10,2017-10,963
10,2017-11,835
10,2017-12,1090
10,2018-01,412
10,2018-02,528
10,2018-03,244
10,2018-04,648
10,2018-05,436
10,2018-06,476
10,2018-07,580
10,2018-08,1147
10,2018-09,1570
10,2018-10,836
10,2018-11,724
10,2018-12,1283
10,2019-01,879
10,2019-02,536
10,2019-03,642
10,2019-04,823
10,2019-05,729
10,2019-06,421
10,2019-07,782
10,2019-08,347
10,2019-09,516
10,2019-10,583
11,2010-01,232
11,2010-02,217
11,2010-03,318
11,2010-04,194
11,2010-05,177
11,2010-06,183
11,2010-07,312
11,2010-08,199
11,2010-09,248
11,2010-10,250
11,2010-11,447
11,2010-12,529
11,2011-01,251
11,2011-02,244
11,2011-03,283
11,2011-04,232
11,2011-05,251
11,2011-06,289
11,2011-07,277
11,2011-08,280
11,2011-09,315
11,2011-10,271
11,2011-11,310
11,2011-12,658
11,2012-01,322
11,2012-02,498
11,2012-03,318
11,2012-04,269
11,2012-05,257
11,2012-06,275
11,2012-07,242
11,2012-08,240
11,2012-09,530
11,2012-10,587
11,2012-11,345
11,2012-12,505
11,2013-01,553
11,2013-02,370
11,2013-03,410
11,2013-04,293
11,2013-05,295
11,2013-06,296
11,2013-07,303
11,2013-08,300
11,2013-09,441
11,2013-10,319
11,2013-11,307
11,2013-12,289
11,2014-01,264
11,2014-02,364
11,2014-03,594
11,2014-04,335
11,2014-05,278
11,2014-06,381
11,2014-07,609
11,2014-08,363
11,2014-09,442
11,2014-10,550
11,2014-11,492
11,2014-12,807
11,2015-01,737
11,2015-02,483
11,2015-03,481
11,2015-04,431
11,2015-05,371
11,2015-06,422
11,2015-07,433
11,2015-08,371
11,2015-09,398
11,2015-10,420
11,2015-11,438
11,2015-12,681
11,2016-01,422
11,2016-02,782
11,2016-03,449
11,2016-04,381
11,2016-05,363
11,2016-06,600
11,2016-07,428
11,2016-08,398
11,2016-09,376
11,2016-10,414
11,2016-11,709
11,2016-12,840
11,2017-01,386
11,2017-02,448
11,2017-03,472
11,2017-04,737
11,2017-05,666
11,2017-06,438
11,2017-07,484
11,2017-08,694
11,2017-09,399
11,2017-10,618
11,2017-11,366
11,2017-12,789
11,2018-01,276
11,2018-02,318
11,2018-03,511
11,2018-04,566
11,2018-05,281
11,2018-06,315
11,2018-07,327
11,2018-08,498
11,2018-09,516
11,2018-10,454
11,2018-11,320
11,2018-12,701
11,2019-01,335
11,2019-02,570
11,2019-03,346
11,2019-04,366
11,2019-05,360
11,2019-06,305
11,2019-07,373
11,2019-08,296
11,2019-09,370
11,2019-10,539
12,2010-01,515
12,2010-02,600
12,2010-03,763
12,2010-04,1010
12,2010-05,1016
12,2010-06,1239
12,2010-07,1249
12,2010-08,1161
12,2010-09,2336
12,2010-10,2923
12,2010-11,2409
12,2010-12,3118
12,2011-01,2231
12,2011-02,1249
12,2011-03,1427
12,2011-04,2621
12,2011-05,1410
12,2011-06,1468
12,2011-07,2827
12,2011-08,3175
12,2011-09,1447
12,2011-10,2993
12,2011-11,2871
12,2011-12,2988
12,2012-01,2532
12,2012-02,1186
12,2012-03,2181
12,2012-04,1118
12,2012-05,1385
12,2012-06,1488
12,2012-07,1325
12,2012-08,1107
12,2012-09,1059
12,2012-10,1012
12,2012-11,889
12,2012-12,1614
12,2013-01,798
12,2013-02,900
12,2013-03,967
12,2013-04,976
12,2013-05,932
12,2013-06,1022
12,2013-07,2316
12,2013-08,1731
12,2013-09,879
12,2013-10,847
12,2013-11,783
12,2013-12,1704
12,2014-01,742
12,2014-02,784
12,2014-03,1483
12,2014-04,845
12,2014-05,854
12,2014-06,901
12,2014-07,945
12,2014-08,1816
12,2014-09,908
12,2014-10,1953
12,2014-11,865
12,2014-12,1925
12,2015-01,1824
12,2015-02,871
12,2015-03,1575
12,2015-04,898
12,2015-05,875
12,2015-06,965
12,2015-07,1873
12,2015-08,1940
12,2015-09,940
12,2015-10,1610
12,2015-11,782
12,2015-12,1816
12,2016-01,811
12,2016-02,832
12,2016-03,908
12,2016-04,877
12,2016-05,803
12,2016-06,885
12,2016-07,902
12,2016-08,790
12,2016-09,860
12,2016-10,876
12,2016-11,1511
12,2016-12,1489
12,2017-01,802
12,2017-02,860
12,2017-03,918
12,2017-04,882
12,2017-05,861
12,2017-06,932
12,2017-07,937
12,2017-08,1711
12,2017-09,981
12,2017-10,981
12,2017-11,972
12,2017-12,2250
12,2018-01,903
12,2018-02,947
12,2018-03,2244
12,2018-04,961
12,2018-05,965
12,2018-06,1022
12,2018-07,1017
12,2018-08,980
12,2018-09,1906
12,2018-10,1062
12,2018-11,2242
12,2018-12,2611
12,2019-01,958
12,2019-02,971
12,2019-03,1066
12,2019-04,1027
12,2019-05,1070
12,2019-06,1069
12,2019-07,1091
12,2019-08,1014
12,2019-09,1794
12,2019-10,2410
13,2010-01,1300
13,2010-02,1100
13,2010-03,1300
13,2010-04,1200
13,2010-05,1000
13,2010-06,1400
13,2010-07,1600
13,2010-08,1200
13,2010-09,1300
13,2010-10,2208
13,2010-11,1500
13,2010-12,4174
13,2011-01,2377
13,2011-02,1300
13,2011-03,1700
13,2011-04,1500
13,2011-05,1868
13,2011-06,1600
13,2011-07,1500
13,2011-08,1300
13,2011-09,2208
13,2011-10,2385
13,2011-11,1500
13,2011-12,3977
13,2012-01,2208
13,2012-02,2186
13,2012-03,1500
13,2012-04,1200
13,2012-05,1000
13,2012-06,1500
13,2012-07,1300
13,2012-08,2782
13,2012-09,1600
13,2012-10,1400
13,2012-11,1300
13,2012-12,4770
13,2013-01,2782
13,2013-02,1300
13,2013-03,1600
13,2013-04,2385
13,2013-05,1400
13,2013-06,1300
13,2013-07,1300
13,2013-08,1000
13,2013-09,1400
13,2013-10,1200
13,2013-11,1100
13,2013-12,3057
13,2014-01,1200
13,2014-02,1100
13,2014-03,1868
13,2014-04,1000
13,2014-05,2038
13,2014-06,1100
13,2014-07,1200
13,2014-08,1000
13,2014-09,2584
13,2014-10,1200
13,2014-11,1100
13,2014-12,3535
13,2015-01,1300
13,2015-02,1698
13,2015-03,1100
13,2015-04,900
13,2015-05,800
13,2015-06,900
13,2015-07,900
13,2015-08,800
13,2015-09,2038
13,2015-10,800
13,2015-11,1000
13,2015-12,2981
13,2016-01,1000
13,2016-02,900
13,2016-03,1100
13,2016-04,1590
13,2016-05,800
13,2016-06,1528
13,2016-07,1000
13,2016-08,800
13,2016-09,1698
13,2016-10,1000
13,2016-11,1000
13,2016-12,2208
13,2017-01,900
13,2017-02,800
13,2017-03,1000
13,2017-04,900
13,2017-05,700
