商品ID,日付,割引率
5,2019-04,20
5,2019-05,0
5,2019-06,0
5,2019-07,0
5,2019-08,0
5,2019-09,0
5,2019-10,0
6,2010-01,20
6,2010-02,0
6,2010-03,20
6,2010-04,0
6,2010-05,0
6,2010-06,20
6,2010-07,10
6,2010-08,0
6,2010-09,20
6,2010-10,0
6,2010-11,0
6,2010-12,40
6,2011-01,0
6,2011-02,0
6,2011-03,0
6,2011-04,0
6,2011-05,20
6,2011-06,0
6,2011-07,0
6,2011-08,0
6,2011-09,10
6,2011-10,0
6,2011-11,0
6,2011-12,50
6,2012-01,10
6,2012-02,0
6,2012-03,0
6,2012-04,10
6,2012-05,0
6,2012-06,0
6,2012-07,0
6,2012-08,0
6,2012-09,0
6,2012-10,0
6,2012-11,0
6,2012-12,0
6,2013-01,0
6,2013-02,0
6,2013-03,0
6,2013-04,0
6,2013-05,10
6,2013-06,0
6,2013-07,0
6,2013-08,0
6,2013-09,0
6,2013-10,20
6,2013-11,0
6,2013-12,10
6,2014-01,20
6,2014-02,20
6,2014-03,0
6,2014-04,20
6,2014-05,0
6,2014-06,20
6,2014-07,0
6,2014-08,0
6,2014-09,0
6,2014-10,0
6,2014-11,10
6,2014-12,20
6,2015-01,0
6,2015-02,0
6,2015-03,0
6,2015-04,0
6,2015-05,10
6,2015-06,0
6,2015-07,0
6,2015-08,0
6,2015-09,0
6,2015-10,0
6,2015-11,0
6,2015-12,20
6,2016-01,0
6,2016-02,0
6,2016-03,0
6,2016-04,0
6,2016-05,0
6,2016-06,0
6,2016-07,0
6,2016-08,0
6,2016-09,10
6,2016-10,0
6,2016-11,0
6,2016-12,20
6,2017-01,0
6,2017-02,10
6,2017-03,0
6,2017-04,0
6,2017-05,0
6,2017-06,0
6,2017-07,0
6,2017-08,20
6,2017-09,0
6,2017-10,0
6,2017-11,0
6,2017-12,20
6,2018-01,0
6,2018-02,10
6,2018-03,10
6,2018-04,0
6,2018-05,0
6,2018-06,10
6,2018-07,0
6,2018-08,0
6,2018-09,20
6,2018-10,0
6,2018-11,0
6,2018-12,20
6,2019-01,10
6,2019-02,0
6,2019-03,0
6,2019-04,0
6,2019-05,0
6,2019-06,0
6,2019-07,0
6,2019-08,0
6,2019-09,0
6,2019-10,10
7,2010-01,0
7,2010-02,0
7,2010-03,0
7,2010-04,0
7,2010-05,0
7,2010-06,10
7,2010-07,0
7,2010-08,0
7,2010-09,20
7,2010-10,10
7,2010-11,0
7,2010-12,40
7,2011-01,0
7,2011-02,0
7,2011-03,0
7,2011-04,0
7,2011-05,0
7,2011-06,0
7,2011-07,20
7,2011-08,0
7,2011-09,0
7,2011-10,0
7,2011-11,20
7,2011-12,30
7,2012-01,0
7,2012-02,0
7,2012-03,0
7,2012-04,0
7,2012-05,0
7,2012-06,0
7,2012-07,0
7,2012-08,0
7,2012-09,0
7,2012-10,0
7,2012-11,0
7,2012-12,20
7,2013-01,0
7,2013-02,0
7,2013-03,0
7,2013-04,0
7,2013-05,0
7,2013-06,0
7,2013-07,0
7,2013-08,20
7,2013-09,0
7,2013-10,0
7,2013-11,0
7,2013-12,0
7,2014-01,30
7,2014-02,0
7,2014-03,0
7,2014-04,0
7,2014-05,0
7,2014-06,0
7,2014-07,0
7,2014-08,0
7,2014-09,0
7,2014-10,0
7,2014-11,20
7,2014-12,20
7,2015-01,0
7,2015-02,0
7,2015-03,0
7,2015-04,0
7,2015-05,0
7,2015-06,10
7,2015-07,0
7,2015-08,20
7,2015-09,10
7,2015-10,0
7,2015-11,0
7,2015-12,10
7,2016-01,0
7,2016-02,0
7,2016-03,0
7,2016-04,0
7,2016-05,20
7,2016-06,20
7,2016-07,0
7,2016-08,20
7,2016-09,0
7,2016-10,20
7,2016-11,0
7,2016-12,20
7,2017-01,0
7,2017-02,0
7,2017-03,0
7,2017-04,0
7,2017-05,0
7,2017-06,10
7,2017-07,10
7,2017-08,20
7,2017-09,0
7,2017-10,0
7,2017-11,0
7,2017-12,10
7,2018-01,0
7,2018-02,0
7,2018-03,0
7,2018-04,10
7,2018-05,0
7,2018-06,0
7,2018-07,0
7,2018-08,0
7,2018-09,0
7,2018-10,0
7,2018-11,0
7,2018-12,30
7,2019-01,0
7,2019-02,0
7,2019-03,20
7,2019-04,10
7,2019-05,0
7,2019-06,10
7,2019-07,0
7,2019-08,0
7,2019-09,0
7,2019-10,0
8,2010-01,0
8,2010-02,0
8,2010-03,0
8,2010-04,20
8,2010-05,0
8,2010-06,20
8,2010-07,0
8,2010-08,20
8,2010-09,10
8,2010-10,0
8,2010-11,0
8,2010-12,10
8,2011-01,0
8,2011-02,0
8,2011-03,0
8,2011-04,0
8,2011-05,20
8,2011-06,0
8,2011-07,0
8,2011-08,0
8,2011-09,20
8,2011-10,0
8,2011-11,0
8,2011-12,40
8,2012-01,10
8,2012-02,10
8,2012-03,0
8,2012-04,0
8,2012-05,0
8,2012-06,0
8,2012-07,20
8,2012-08,0
8,2012-09,0
8,2012-10,0
8,2012-11,0
8,2012-12,10
8,2013-01,0
8,2013-02,0
8,2013-03,0
8,2013-04,0
8,2013-05,20
8,2013-06,0
8,2013-07,10
8,2013-08,0
8,2013-09,0
8,2013-10,0
8,2013-11,0
8,2013-12,0
8,2014-01,0
8,2014-02,0
8,2014-03,0
8,2014-04,10
8,2014-05,0
8,2014-06,0
8,2014-07,0
8,2014-08,20
8,2014-09,0
8,2014-10,0
8,2014-11,0
8,2014-12,30
8,2015-01,0
8,2015-02,20
8,2015-03,0
8,2015-04,0
8,2015-05,0
8,2015-06,10
8,2015-07,0
8,2015-08,0
8,2015-09,20
8,2015-10,20
8,2015-11,0
8,2015-12,20
8,2016-01,0
8,2016-02,0
8,2016-03,10
8,2016-04,0
8,2016-05,0
8,2016-06,0
8,2016-07,0
8,2016-08,0
8,2016-09,0
8,2016-10,0
8,2016-11,0
8,2016-12,20
8,2017-01,20
8,2017-02,0
8,2017-03,10
8,2017-04,0
8,2017-05,0
8,2017-06,10
8,2017-07,0
8,2017-08,0
8,2017-09,10
8,2017-10,0
8,2017-11,0
8,2017-12,30
8,2018-01,20
8,2018-02,0
8,2018-03,20
8,2018-04,0
8,2018-05,0
8,2018-06,0
8,2018-07,10
8,2018-08,20
8,2018-09,20
8,2018-10,10
8,2018-11,0
8,2018-12,20
8,2019-01,0
8,2019-02,10
8,2019-03,0
8,2019-04,0
8,2019-05,0
8,2019-06,0
8,2019-07,20
8,2019-08,0
8,2019-09,0
8,2019-10,0
9,2010-01,0
9,2010-02,0
9,2010-03,20
9,2010-04,0
9,2010-05,0
9,2010-06,0
9,2010-07,0
9,2010-08,0
9,2010-09,20
9,2010-10,0
9,2010-11,0
9,2010-12,20
9,2011-01,0
9,2011-02,0
9,2011-03,0
9,2011-04,0
9,2011-05,20
9,2011-06,0
9,2011-07,0
9,2011-08,10
9,2011-09,0
9,2011-10,0
9,2011-11,20
9,2011-12,30
9,2012-01,0
9,2012-02,0
9,2012-03,0
9,2012-04,0
9,2012-05,0
9,2012-06,0
9,2012-07,0
9,2012-08,0
9,2012-09,0
9,2012-10,0
9,2012-11,20
9,2012-12,20
9,2013-01,10
9,2013-02,0
9,2013-03,0
9,2013-04,20
9,2013-05,20
9,2013-06,0
9,2013-07,0
9,2013-08,0
9,2013-09,0
9,2013-10,0
9,2013-11,20
9,2013-12,20
9,2014-01,10
9,2014-02,10
9,2014-03,0
9,2014-04,0
9,2014-05,0
9,2014-06,0
9,2014-07,0
9,2014-08,0
9,2014-09,0
9,2014-10,0
9,2014-11,0
9,2014-12,20
9,2015-01,20
9,2015-02,0
9,2015-03,0
9,2015-04,10
9,2015-05,0
9,2015-06,0
9,2015-07,0
9,2015-08,0
9,2015-09,20
9,2015-10,0
9,2015-11,0
9,2015-12,10
9,2016-01,0
9,2016-02,20
9,2016-03,0
9,2016-04,0
9,2016-05,0
9,2016-06,0
9,2016-07,0
9,2016-08,10
9,2016-09,0
9,2016-10,0
9,2016-11,0
9,2016-12,40
9,2017-01,0
9,2017-02,0
9,2017-03,0
9,2017-04,0
9,2017-05,0
9,2017-06,0
9,2017-07,20
9,2017-08,0
9,2017-09,0
9,2017-10,0
9,2017-11,20
9,2017-12,50
9,2018-01,0
9,2018-02,0
9,2018-03,0
9,2018-04,0
9,2018-05,10
9,2018-06,0
9,2018-07,0
9,2018-08,0
9,2018-09,0
9,2018-10,10
9,2018-11,0
9,2018-12,30
9,2019-01,20
9,2019-02,0
9,2019-03,0
9,2019-04,0
9,2019-05,0
9,2019-06,0
9,2019-07,20
9,2019-08,10
9,2019-09,10
9,2019-10,0
10,2010-01,20
10,2010-02,0
10,2010-03,20
10,2010-04,20
10,2010-05,0
10,2010-06,0
10,2010-07,0
10,2010-08,0
10,2010-09,0
10,2010-10,0
10,2010-11,0
10,2010-12,40
10,2011-01,0
10,2011-02,0
10,2011-03,0
10,2011-04,0
10,2011-05,0
10,2011-06,10
10,2011-07,20
10,2011-08,0
10,2011-09,0
10,2011-10,0
10,2011-11,10
10,2011-12,40
10,2012-01,0
10,2012-02,0
10,2012-03,0
10,2012-04,30
10,2012-05,0
10,2012-06,20
10,2012-07,0
10,2012-08,0
10,2012-09,0
10,2012-10,20
10,2012-11,0
10,2012-12,30
10,2013-01,0
10,2013-02,0
10,2013-03,0
10,2013-04,0
10,2013-05,0
10,2013-06,10
10,2013-07,0
10,2013-08,0
10,2013-09,10
10,2013-10,0
10,2013-11,20
10,2013-12,20
10,2014-01,0
10,2014-02,0
10,2014-03,0
10,2014-04,20
10,2014-05,0
10,2014-06,10
10,2014-07,20
10,2014-08,0
10,2014-09,0
10,2014-10,0
10,2014-11,0
10,2014-12,20
10,2015-01,20
10,2015-02,0
10,2015-03,0
10,2015-04,0
10,2015-05,20
10,2015-06,0
10,2015-07,20
10,2015-08,0
10,2015-09,0
10,2015-10,0
10,2015-11,0
10,2015-12,10
10,2016-01,0
10,2016-02,0
10,2016-03,20
10,2016-04,0
10,2016-05,0
10,2016-06,0
10,2016-07,0
10,2016-08,0
10,2016-09,10
10,2016-10,20
10,2016-11,0
10,2016-12,10
10,2017-01,0
10,2017-02,20
10,2017-03,20
10,2017-04,0
10,2017-05,0
10,2017-06,0
10,2017-07,0
10,2017-08,0
10,2017-09,0
10,2017-10,10
10,2017-11,10
10,2017-12,40
10,2018-01,0
10,2018-02,10
10,2018-03,0
10,2018-04,20
10,2018-05,0
10,2018-06,0
10,2018-07,0
10,2018-08,10
10,2018-09,20
10,2018-10,0
10,2018-11,0
10,2018-12,30
10,2019-01,10
10,2019-02,0
10,2019-03,10
10,2019-04,20
10,2019-05,20
10,2019-06,0
10,2019-07,20
10,2019-08,0
10,2019-09,0
10,2019-10,10
11,2010-01,0
11,2010-02,0
11,2010-03,10
11,2010-04,0
11,2010-05,0
11,2010-06,0
11,2010-07,10
11,2010-08,0
11,2010-09,0
11,2010-10,0
11,2010-11,20
11,2010-12,40
11,2011-01,0
11,2011-02,0
11,2011-03,0
11,2011-04,0
11,2011-05,0
11,2011-06,0
11,2011-07,0
11,2011-08,0
11,2011-09,0
11,2011-10,0
11,2011-11,0
11,2011-12,60
11,2012-01,0
11,2012-02,20
11,2012-03,0
11,2012-04,0
11,2012-05,0
11,2012-06,0
11,2012-07,0
11,2012-08,0
11,2012-09,10
11,2012-10,20
11,2012-11,0
11,2012-12,20
11,2013-01,20
11,2013-02,0
11,2013-03,0
11,2013-04,0
11,2013-05,0
11,2013-06,0
11,2013-07,0
11,2013-08,0
11,2013-09,10
11,2013-10,0
11,2013-11,0
11,2013-12,0
11,2014-01,0
11,2014-02,0
11,2014-03,20
11,2014-04,0
11,2014-05,0
11,2014-06,0
11,2014-07,10
11,2014-08,0
11,2014-09,0
11,2014-10,0
11,2014-11,0
11,2014-12,30
11,2015-01,20
11,2015-02,0
11,2015-03,0
11,2015-04,0
11,2015-05,0
11,2015-06,0
11,2015-07,0
11,2015-08,0
11,2015-09,0
11,2015-10,0
11,2015-11,0
11,2015-12,10
11,2016-01,0
11,2016-02,20
11,2016-03,0
11,2016-04,0
11,2016-05,0
11,2016-06,10
11,2016-07,0
11,2016-08,0
11,2016-09,0
11,2016-10,0
11,2016-11,20
11,2016-12,30
11,2017-01,0
11,2017-02,0
11,2017-03,0
11,2017-04,20
11,2017-05,20
11,2017-06,0
11,2017-07,0
11,2017-08,20
11,2017-09,0
11,2017-10,20
11,2017-11,0
11,2017-12,60
11,2018-01,0
11,2018-02,0
11,2018-03,10
11,2018-04,20
11,2018-05,0
11,2018-06,0
11,2018-07,0
11,2018-08,20
11,2018-09,20
11,2018-10,0
11,2018-11,0
11,2018-12,40
11,2019-01,0
11,2019-02,10
11,2019-03,0
11,2019-04,0
11,2019-05,0
11,2019-06,0
11,2019-07,0
11,2019-08,0
11,2019-09,0
11,2019-10,10
12,2010-01,0
12,2010-02,0
12,2010-03,0
12,2010-04,0
12,2010-05,0
12,2010-06,0
12,2010-07,0
12,2010-08,0
12,2010-09,10
12,2010-10,20
12,2010-11,10
12,2010-12,30
12,2011-01,10
12,2011-02,0
12,2011-03,0
12,2011-04,10
12,2011-05,0
12,2011-06,0
12,2011-07,10
12,2011-08,20
12,2011-09,0
12,2011-10,20
12,2011-11,20
12,2011-12,30
12,2012-01,20
12,2012-02,0
12,2012-03,20
12,2012-04,0
12,2012-05,0
12,2012-06,0
12,2012-07,0
12,2012-08,0
12,2012-09,0
12,2012-10,0
12,2012-11,0
12,2012-12,10
12,2013-01,0
12,2013-02,0
12,2013-03,0
12,2013-04,0
12,2013-05,0
12,2013-06,0
12,2013-07,20
12,2013-08,10
12,2013-09,0
12,2013-10,0
12,2013-11,0
12,2013-12,20
12,2014-01,0
12,2014-02,0
12,2014-03,10
12,2014-04,0
12,2014-05,0
12,2014-06,0
12,2014-07,0
12,2014-08,20
12,2014-09,0
12,2014-10,20
12,2014-11,0
12,2014-12,20
12,2015-01,20
12,2015-02,0
12,2015-03,10
12,2015-04,0
12,2015-05,0
12,2015-06,0
12,2015-07,10
12,2015-08,20
12,2015-09,0
12,2015-10,10
12,2015-11,0
12,2015-12,20
12,2016-01,0
12,2016-02,0
12,2016-03,0
12,2016-04,0
12,2016-05,0
12,2016-06,0
12,2016-07,0
12,2016-08,0
12,2016-09,0
12,2016-10,0
12,2016-11,10
12,2016-12,10
12,2017-01,0
12,2017-02,0
12,2017-03,0
12,2017-04,0
12,2017-05,0
12,2017-06,0
12,2017-07,0
12,2017-08,10
12,2017-09,0
12,2017-10,0
12,2017-11,0
12,2017-12,30
12,2018-01,0
12,2018-02,0
12,2018-03,20
12,2018-04,0
12,2018-05,0
12,2018-06,0
12,2018-07,0
12,2018-08,0
12,2018-09,10
12,2018-10,0
12,2018-11,20
12,2018-12,40
12,2019-01,0
12,2019-02,0
12,2019-03,0
12,2019-04,0
12,2019-05,0
12,2019-06,0
12,2019-07,0
12,2019-08,0
12,2019-09,10
12,2019-10,20
13,2010-01,0
13,2010-02,0
13,2010-03,0
13,2010-04,0
13,2010-05,0
13,2010-06,0
13,2010-07,0
13,2010-08,0
13,2010-09,0
13,2010-10,10
13,2010-11,0
13,2010-12,20
13,2011-01,10
13,2011-02,0
13,2011-03,0
13,2011-04,0
13,2011-05,10
13,2011-06,0
13,2011-07,0
13,2011-08,0
13,2011-09,10
13,2011-10,20
13,2011-11,0
13,2011-12,30
13,2012-01,10
13,2012-02,20
13,2012-03,0
13,2012-04,0
13,2012-05,0
13,2012-06,0
13,2012-07,0
13,2012-08,20
13,2012-09,0
13,2012-10,0
13,2012-11,0
13,2012-12,20
13,2013-01,20
13,2013-02,0
13,2013-03,0
13,2013-04,20
13,2013-05,0
13,2013-06,0
13,2013-07,0
13,2013-08,0
13,2013-09,0
13,2013-10,0
13,2013-11,0
13,2013-12,10
13,2014-01,0
13,2014-02,0
13,2014-03,10
13,2014-04,0
13,2014-05,10
13,2014-06,0
13,2014-07,0
13,2014-08,0
13,2014-09,20
13,2014-10,0
13,2014-11,0
13,2014-12,30
13,2015-01,0
13,2015-02,10
13,2015-03,0
13,2015-04,0
13,2015-05,0
13,2015-06,0
13,2015-07,0
13,2015-08,0
13,2015-09,10
13,2015-10,0
13,2015-11,0
13,2015-12,20
13,2016-01,0
13,2016-02,0
13,2016-03,0
13,2016-04,20
13,2016-05,0
13,2016-06,10
13,2016-07,0
13,2016-08,0
13,2016-09,10
13,2016-10,0
13,2016-11,0
13,2016-12,10
13,2017-01,0
13,2017-02,0
13,2017-03,0
13,2017-04,0
13,2017-05,0
13,2017-06,0
13,2017-07,10
13,2017-08,0
13,2017-09,20
13,2017-10,0
13,2017-11,10
13,2017-12,30
13,2018-01,0
13,2018-02,0
13,2018-03,0
13,2018-04,0
13,2018-05,10
13,2018-06,0
13,2018-07,0
13,2018-08,0
13,2018-09,20
13,2018-10,0
13,2018-11,20
13,2018-12,40
13,2019-01,0
13,2019-02,20
13,2019-03,10
13,2019-04,0
13,2019-05,0
13,2019-06,0
13,2019-07,0
13,2019-08,10
13,2019-09,0
13,2019-10,0
14,2010-01,0
14,2010-02,0
14,2010-03,0
14,2010-04,20
14,2010-05,0
14,2010-06,0
14,2010-07,20
14,2010-08,0
14,2010-09,0
14,2010-10,0
14,2010-11,0
14,2010-12,50
14,2011-01,20
14,2011-02,0
14,2011-03,0
14,2011-04,0
14,2011-05,0
14,2011-06,0
